NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles
0,0,1,,,0,0,1,0,0,0,0,TOX3021,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
0,0,0,0,0,0,0,,0,,0,0,TOX3020,CCN1C(=O)NC(c2ccccc2)C1=O
,,,,,,,0,,0,,,TOX3024,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
0,0,0,0,0,0,0,,0,,0,0,TOX3027,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C
0,0,0,0,0,0,0,0,0,0,0,0,TOX20800,CC(O)(P(=O)(O)O)P(=O)(O)O
0,0,0,0,0,0,0,,0,0,0,0,TOX5110,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
0,0,0,0,0,0,0,0,0,0,0,0,TOX6619,O=S(=O)(Cl)c1ccccc1
0,,0,,1,,,1,0,1,0,1,TOX25232,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1
0,0,0,0,0,0,0,0,0,0,,0,TOX22514,OC[C@H](O)[C@@H](O)[C@H](O)CO
,,,,,,,0,,0,,,TOX22517,CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2]
0,0,0,,0,0,0,,0,,,0,TOX25236,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
0,0,,,0,0,0,0,0,0,0,0,TOX25238,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
0,0,0,0,0,0,0,0,0,0,0,0,TOX6612,CC(C)COC(=O)C(C)C
0,0,0,0,0,0,0,0,0,0,0,0,TOX6615,C=C(C)C(=O)OCCOC(=O)C(=C)C
0,0,0,,0,0,,1,0,0,0,,TOX15748,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2
0,0,0,0,0,0,1,0,0,0,0,0,TOX14833,O=C([O-])Cc1cccc2ccccc12
0,0,0,,0,,,,,0,,,TOX26529,CCCCCCCCCCOCC(O)CN
0,0,0,0,,0,0,,0,,0,0,TOX26524,CCN(CC)C(=O)c1cccnc1
0,0,,0,,,0,,0,0,0,0,TOX26525,COc1cc(O)cc(O)c1
,,,,,,,0,,0,,,TOX26526,CCOC(=O)c1cccnc1
0,0,,0,1,1,0,,0,,0,0,TOX26521,CCOc1ccc(S(=O)(=O)O)c2cccnc12
0,0,0,0,,0,0,0,0,0,0,0,TOX26523,O=C(O)[C@H](O)c1ccccc1
0,0,1,,1,0,,1,1,0,,0,TOX4460,Nc1ccc(/N=N/c2ccccc2)cc1
0,0,1,,0,0,0,,0,,,,TOX22631,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
0,0,0,0,0,0,0,0,0,0,,0,TOX22632,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2
0,0,0,,0,0,,0,0,0,,0,TOX22633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
0,0,0,0,0,0,0,0,0,0,0,0,TOX1883,C#CCO
0,0,0,0,0,0,0,0,0,0,,0,TOX4463,Nc1ccccc1S(=O)(=O)O
0,0,0,0,0,0,0,0,0,0,0,0,TOX1885,CC(O)CC(C)(C)O
0,0,0,0,0,0,0,0,0,0,0,0,TOX1886,CC(C)(C)CC(C)(C)N
0,0,0,0,0,0,0,0,0,0,0,0,TOX1889,CC(=O)CC(C)C
0,0,0,0,0,0,0,0,0,0,0,0,TOX1888,CCCC(C)=O
0,0,1,0,0,0,0,0,0,0,0,0,TOX4465,Nc1nc2ccccc2[nH]1
0,,1,,,0,,1,0,0,1,1,TOX1106,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
0,0,0,0,0,0,0,0,0,0,0,0,TOX161,c1ccc(-c2ccccc2)cc1
0,0,1,0,0,,0,0,0,0,,0,TOX22180,CNC(=O)Nc1ccc(Cl)c(Cl)c1
0,0,0,0,,0,0,0,0,0,,0,TOX22181,CC(=O)Nc1ccc(C)c(Cl)c1
0,0,0,0,0,0,0,0,0,1,0,0,TOX22187,CCCCNC(=S)NCCCC
0,0,0,0,0,0,0,0,0,0,0,0,TOX22188,CCCCNC(=O)NCCCC
0,0,0,0,0,0,0,0,0,0,0,0,TOX22189,CC(C)N(c1ccccc1)C(C)C
0,0,0,0,0,0,0,0,0,0,0,0,TOX7876,CCc1cccc(C)c1
0,0,0,0,0,0,0,,0,0,0,0,TOX7877,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1
0,0,0,,0,0,0,0,0,1,0,0,TOX7875,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO
0,0,0,0,0,0,0,1,0,0,0,0,TOX7870,CCCCCCCCCCC=CC1CC(=O)OC1=O
0,0,,0,0,,,0,0,,1,,TOX4110,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
0,0,0,0,0,0,0,0,0,0,0,0,TOX4112,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
0,0,0,1,,0,0,0,0,0,0,0,TOX4113,CCOP(=S)(CC)Sc1ccccc1
0,0,0,0,0,0,0,0,0,0,0,0,TOX27698,CC/C=C\CCCCO
,0,1,,1,0,0,1,1,0,1,0,TOX27695,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1
0,0,1,0,0,0,0,,0,0,0,0,TOX24280,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
0,0,0,0,0,0,0,0,0,0,0,0,TOX10138,CC(=O)CCC(C)=O
0,0,0,0,0,0,0,0,0,0,0,0,TOX21464,N#CCCNCCC#N
0,0,0,0,0,0,0,,0,0,,0,TOX21728,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1
0,0,,0,0,0,0,1,0,0,,0,TOX21721,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1
0,0,0,,,0,0,1,0,0,,0,TOX21726,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1
0,0,0,,0,0,,0,0,0,,0,TOX24000,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2
0,0,0,,0,0,,,0,0,,0,TOX24002,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
0,0,0,0,0,0,0,0,0,0,0,0,TOX27071,Cc1ccccc1CCO
0,0,0,0,0,0,0,0,0,0,0,0,TOX27070,Cc1nc(C)c(C)nc1C
